+--------+-----------+----------------------------------------------------+-------------------------------+------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                                                | Name                          | Action                                                                 | Middleware   |
+--------+-----------+----------------------------------------------------+-------------------------------+------------------------------------------------------------------------+--------------+
|        | GET|HEAD  | etud_scolariser_class/{etud_scolariser_class}      | etud_scolariser_class.show    | App\Http\Controllers\Etud_scolariser_classController@show              | web,auth     |
|        | PUT|PATCH | etud_scolariser_class/{etud_scolariser_class}      | etud_scolariser_class.update  | App\Http\Controllers\Etud_scolariser_classController@update            | web,auth     |
|        | DELETE    | etud_scolariser_class/{etud_scolariser_class}      | etud_scolariser_class.destroy | App\Http\Controllers\Etud_scolariser_classController@destroy           | web,auth     |
|        | GET|HEAD  | etud_scolariser_class/{etud_scolariser_class}/edit | etud_scolariser_class.edit    | App\Http\Controllers\Etud_scolariser_classController@edit              | web,auth     |
|        | POST      | etudiant                                           | etudiant.store                | App\Http\Controllers\Users\EtudiantController@store                    | web,auth     |
|        | GET|HEAD  | etudiant                                           | etudiant.index                | App\Http\Controllers\Users\EtudiantController@index                    | web,auth     |
|        | GET|HEAD  | etudiant/create                                    | etudiant.create               | App\Http\Controllers\Users\EtudiantController@create                   | web,auth     |
|        | PUT|PATCH | etudiant/{etudiant}                                | etudiant.update               | App\Http\Controllers\Users\EtudiantController@update                   | web,auth     |
|        | DELETE    | etudiant/{etudiant}                                | etudiant.destroy              | App\Http\Controllers\Users\EtudiantController@destroy                  | web,auth     |
|        | GET|HEAD  | etudiant/{etudiant}                                | etudiant.show                 | App\Http\Controllers\Users\EtudiantController@show                     | web,auth     |
|        | GET|HEAD  | etudiant/{etudiant}/edit                           | etudiant.edit                 | App\Http\Controllers\Users\EtudiantController@edit                     | web,auth     |
|        | POST      | examens                                            | examens.store                 | App\Http\Controllers\ExamensController@store                           | web          |
|        | GET|HEAD  | examens                                            | examens.index                 | App\Http\Controllers\ExamensController@index                           | web          |
|        | GET|HEAD  | examens/create                                     | examens.create                | App\Http\Controllers\ExamensController@create                          | web          |
|        | DELETE    | examens/{examen}                                   | examens.destroy               | App\Http\Controllers\ExamensController@destroy                         | web          |
|        | PUT|PATCH | examens/{examen}                                   | examens.update                | App\Http\Controllers\ExamensController@update                          | web          |
|        | GET|HEAD  | examens/{examen}                                   | examens.show                  | App\Http\Controllers\ExamensController@show                            | web          |
|        | GET|HEAD  | examens/{examen}/edit                              | examens.edit                  | App\Http\Controllers\ExamensController@edit                            | web          |
|        | GET|HEAD  | getListEtudiant                                    | activite.getListEtudiant      | App\Http\Controllers\ActivitesController@showListEtudiant              | web          |
|        | GET|HEAD  | home                                               |                               | App\Http\Controllers\HomeController@index                              | web,auth     |
|        | POST      | login                                              |                               | App\Http\Controllers\Auth\LoginController@login                        | web,guest    |
|        | GET|HEAD  | login                                              | login                         | App\Http\Controllers\Auth\LoginController@showLoginForm                | web,guest    |
|        | POST      | logout                                             | logout                        | App\Http\Controllers\Auth\LoginController@logout                       | web          |
|        | GET|HEAD  | matiere                                            | matiere.index                 | App\Http\Controllers\MatieresController@index                          | web          |
|        | POST      | matiere                                            | matiere.store                 | App\Http\Controllers\MatieresController@store                          | web          |
|        | GET|HEAD  | matiere/create                                     | matiere.create                | App\Http\Controllers\MatieresController@create                         | web          |
|        | DELETE    | matiere/{matiere}                                  | matiere.destroy               | App\Http\Controllers\MatieresController@destroy                        | web          |
|        | PUT|PATCH | matiere/{matiere}                                  | matiere.update                | App\Http\Controllers\MatieresController@update                         | web          |
|        | GET|HEAD  | matiere/{matiere}                                  | matiere.show                  | App\Http\Controllers\MatieresController@show                           | web          |
|        | GET|HEAD  | matiere/{matiere}/edit                             | matiere.edit                  | App\Http\Controllers\MatieresController@edit                           | web          |
|        | GET|HEAD  | matieres                                           |                               | App\Http\Controllers\MatieresController@matiere                        | web          |
|        | GET|HEAD  | mes_activites                                      |                               | App\Http\Controllers\ActivitesController@accueille                     | web          |
|        | POST      | password/email                                     | password.email                | App\Http\Controllers\Auth\ForgotPasswordController@sendResetLinkEmail  | web,guest    |
|        | GET|HEAD  | password/reset                                     | password.request              | App\Http\Controllers\Auth\ForgotPasswordController@showLinkRequestForm | web,guest    |
|        | POST      | password/reset                                     |                               | App\Http\Controllers\Auth\ResetPasswordController@reset                | web,guest    |
|        | GET|HEAD  | password/reset/{token}                             | password.reset                | App\Http\Controllers\Auth\ResetPasswordController@showResetForm        | web,guest    |
|        | GET|HEAD  | register                                           | register                      | App\Http\Controllers\Auth\RegisterController@showRegistrationForm      | web,guest    |
|        | POST      | register                                           |                               | App\Http\Controllers\Auth\RegisterController@register                  | web,guest    |
|        | POST      | salle_activite                                     | salle_activite.store          | App\Http\Controllers\Salle_activitesController@store                   | web          |
|        | GET|HEAD  | salle_activite                                     | salle_activite.index          | App\Http\Controllers\Salle_activitesController@index                   | web          |
|        | GET|HEAD  | salle_activite/create                              | salle_activite.create         | App\Http\Controllers\Salle_activitesController@create                  | web          |
|        | GET|HEAD  | salle_activite/{salle_activite}                    | salle_activite.show           | App\Http\Controllers\Salle_activitesController@show                    | web          |
|        | DELETE    | salle_activite/{salle_activite}                    | salle_activite.destroy        | App\Http\Controllers\Salle_activitesController@destroy                 | web          |
|        | PUT|PATCH | salle_activite/{salle_activite}                    | salle_activite.update         | App\Http\Controllers\Salle_activitesController@update                  | web          |
|        | GET|HEAD  | salle_activite/{salle_activite}/edit               | salle_activite.edit           | App\Http\Controllers\Salle_activitesController@edit                    | web          |
|        | GET|HEAD  | salles                                             | salles.index                  | App\Http\Controllers\SallesController@index                            | web          |
|        | POST      | salles                                             | salles.store                  | App\Http\Controllers\SallesController@store                            | web          |
|        | GET|HEAD  | salles/create                                      | salles.create                 | App\Http\Controllers\SallesController@create                           | web          |
|        | DELETE    | salles/{salle}                                     | salles.destroy                | App\Http\Controllers\SallesController@destroy                          | web          |
|        | GET|HEAD  | salles/{salle}                                     | salles.show                   | App\Http\Controllers\SallesController@show                             | web          |
|        | PUT|PATCH | salles/{salle}                                     | salles.update                 | App\Http\Controllers\SallesController@update                           | web          |
